"","PlanningPortalApplicationNumber","CostOfDevelopment","NumberOfNewDwellings","NumberOfStoreys","ApplicationStatus","ApplicationType","DeterminationAuthority","Council","DevelopmentType","FullAddress","X","Y","StreetNumber1","StreetName","StreetType","Suburb","Postcode","State","StreetNumber2","StreetSuffix","NumberOfExistingLots","AccompaniedByVPAFlag","EPIVariationProposedFlag","SubdivisionProposedFlag","NumberOfProposedLots","LodgementDate","DeterminationDate","AssessmentExhibitionEndDate","AssessmentExhibitionStartDate","DevelopmentSubjectToSICFlag","VariationToDevelopmentStandardsApprovedFlag","ModificationApplicationNumber"
"145","PAN-45218",37363693,129,13,"Determined","Development Application","Sydney / Regional Planning Panel","Bayside Council","Shop top housing","588 PRINCES HIGHWAY ROCKDALE 2216","151.13802728","-33.955480781","588","PRINCES","HIGHWAY","ROCKDALE","2216","New South Wales",NA,NA,1,"Y","Y","N",NA,"2020-11-23","2022-09-05","2020-12-16T00:00:00","2020-11-30T00:00:00","N","Y",NA
"146","PAN-12847",10944100,12,6,"Determined","Development Application","Local Planning Panel","Sutherland Shire Council","Residential flat building","56 EWOS PARADE CRONULLA 2230","151.153942235","-34.0622056812","56","EWOS","PARADE","CRONULLA","2230","New South Wales",NA,NA,10,"N","Y","Y",12,"2020-04-30","2020-11-24","2020-06-05T00:00:00","2020-05-14T00:00:00","N","N",NA
"147","PAN-133587",7497364,37,NA,"Withdrawn","Development Application","Unknown","Inner West Council","Boarding house","153 SMITH STREET SUMMER HILL 2130","151.134320948","-33.891126924","153","SMITH","STREET","SUMMER HILL","2130","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-08-20",NA,NA,NA,NA,NA,NA
"148","PAN-125864",13953498.34,62,4,"Deferred Commencement","Development Application","Local Planning Panel","Inner West Council","Residential flat building-Mixed use development","35-41 ADDISON ROAD MARRICKVILLE 2204","151.166958529","-33.903338696","35","ADDISON","ROAD","MARRICKVILLE","2204","New South Wales","41",NA,6,"N","N","N",NA,"2021-08-04","2022-04-12","2021-09-09T00:00:00","2021-08-19T00:00:00","N",NA,NA
"149","PAN-17596",5818028,67,4,"Determined","Development Application","Council","Inner West Council","Demolition-Boarding house","52 CHARLOTTE STREET ASHFIELD 2131","151.126754269","-33.8848497286","52","CHARLOTTE","STREET","ASHFIELD","2131","New South Wales",NA,NA,2,"N","N","N",NA,"2020-07-03","2020-11-05",NA,NA,"N",NA,NA
"150","PAN-101442",500000500,1,2,"Determined","Development Application","Council","Inner West Council","Dwelling-Pools / decks / fencing-Demolition","1 RICHARDS AVENUE MARRICKVILLE 2204","151.150680163","-33.919965892","1","RICHARDS","AVENUE","MARRICKVILLE","2204","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-05-28","2021-09-10","2021-07-08T00:00:00","2021-06-24T00:00:00","N",NA,NA
"151","PAN-25935",5155227,7,2,"Determined","Development Application","Unknown","Willoughby City Council","Multi-dwelling housing","99 Beaconsfield Rd, Chatswood","151.166601653","-33.801730143","99","BEACONSFIELD","ROAD","CHATSWOOD","2067","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-10-02","2021-12-07","2020-11-05T00:00:00","2020-10-15T00:00:00","N",NA,NA
"152","PAN-10918",70225714,63,5,"Determined","Development Application","Sydney / Regional Planning Panel","Camden Council","Signage-Subdivision of land-Stratum / community title subdivision-Health services facilities-Shop top housing-Mixed use development-Earthworks / change in levels-Centre based childcare-Recreational Uses-Entertainment facility-Food and drink premises-Commercial development","1 PROVIDENCE DRIVE GLEDSWOOD HILLS 2557","150.774901657971","-34.01091503481","1","PROVIDENCE","DRIVE","GLEDSWOOD HILLS","2557","New South Wales",NA,NA,2,"N","N","Y",6,"2020-04-01","2021-04-20","2020-05-27T00:00:00","2020-04-29T00:00:00","Y","N",NA
"153","PAN-10918",70225714,63,5,"Determined","Development Application","Sydney / Regional Planning Panel","Camden Council","Signage-Subdivision of land-Stratum / community title subdivision-Health services facilities-Shop top housing-Mixed use development-Earthworks / change in levels-Centre based childcare-Recreational Uses-Entertainment facility-Food and drink premises-Commercial development","1 PROVIDENCE DRIVE GLEDSWOOD HILLS 2557","150.774901657971","-34.01091503481","1","PROVIDENCE","DRIVE","GLEDSWOOD HILLS","2557","New South Wales",NA,NA,2,"N","N","Y",6,"2020-04-01","2021-04-20","2020-05-27T00:00:00","2020-04-29T00:00:00","Y","N",NA
"154","PAN-14365",5919630,28,2,"Cancelled","Development Application","Unknown","Camden Council","Multi-dwelling housing","Lots 1779 and 1780 Lilywhite Circuit Oran Park","150.741611481","-33.99147745",NA,NA,NA,NA,NA,NA,NA,NA,6,"N","N","Y",28,NA,NA,NA,NA,NA,NA,NA
"155","PAN-14365",5919630,28,2,"Cancelled","Development Application","Unknown","Camden Council","Multi-dwelling housing","Lots 1779 and 1780 Lilywhite Circuit Oran Park","150.741611481","-33.99147745",NA,NA,NA,NA,NA,NA,NA,NA,6,"N","N","Y",28,NA,NA,NA,NA,NA,NA,NA
"156","PAN-14809",15339410,32,4,"Determined","Development Application","Unknown","Inner West Council","Dwelling-Residential flat building-Mixed use development","2-2A Gladstone Street, Newtown","151.174392542","-33.897698993","2","GLADSTONE","STREET","NEWTOWN","2042","New South Wales",NA,NA,NA,"N","Y","N",NA,"2020-05-19","2021-02-18","2020-07-02T00:00:00","2020-06-04T00:00:00","N","N",NA
"157","PAN-1766",6586746,18,5,"Cancelled","Development Application","Unknown","Sutherland Shire Council","Residential flat building","87 WILLARONG ROAD CARINGBAH 2229","151.121119565","-34.0344430525","87","WILLARONG","ROAD","CARINGBAH","2229","New South Wales",NA,NA,1,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"158","PAN-10919",15763784,60,6,"Determined","Development Application","Local Planning Panel","Penrith City Council","Residential flat building","16 HOPE STREET PENRITH 2750","150.709688044","-33.759727688","16","HOPE","STREET","PENRITH","2750","New South Wales",NA,NA,5,"N","Y","N",NA,"2020-04-02","2021-10-13","2020-05-08T00:00:00","2020-04-24T00:00:00","N",NA,NA
"159","PAN-11757",5000000,23,3,"Cancelled","Development Application","Unknown","Inner West Council","Demolition-Residential flat building-Alterations and additions to residential development","23 CROYDON STREET PETERSHAM 2049","151.155555579","-33.891441245","23","CROYDON","STREET","PETERSHAM","2049","New South Wales",NA,NA,NA,"N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA
"160","PAN-46537",8457937,1,3,"Determined","Development Application","Council","Woollahra Municipal Council","Dwelling-Pools / decks / fencing-Balconies, decks, patios, terraces or verandahs-Demolition-Shed","2B  DUMARESQ ROAD ROSE BAY 2029","151.27025689","-33.867395226","2B","DUMARESQ","ROAD","ROSE BAY","2029","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-12-07","2022-05-24","2021-01-28T00:00:00","2021-01-13T00:00:00","N",NA,NA
"161","PAN-21954",32048449,130,10,"Under Assessment","Development Application","Sydney / Regional Planning Panel","Inner West Council","Demolition-Boarding house-Retail premises ","2 STATION STREET MARRICKVILLE 2204","151.153283131102","-33.9141593877358","2","STATION","STREET","MARRICKVILLE","2204","New South Wales",NA,NA,1,"N","Y","N",NA,"2020-07-22","2021-06-10",NA,NA,"N","N",NA
"162","PAN-34999",5906787,22,2,"Determined","Development Application","Council","Camden Council","Multi-dwelling housing-Subdivision of land-Stratum / community title subdivision","30 PODIUM WAY ORAN PARK 2570","150.737213474","-33.999382003","30","PODIUM","WAY","ORAN PARK","2570","New South Wales",NA,NA,1,"N","N","Y",18,"2020-09-16","2021-11-24","2020-10-15T00:00:00","2020-10-02T00:00:00","N",NA,NA
"163","PAN-34999",5906787,22,2,"Determined","Development Application","Council","Camden Council","Multi-dwelling housing-Subdivision of land-Stratum / community title subdivision","30 PODIUM WAY ORAN PARK 2570","150.737213474","-33.999382003","30","PODIUM","WAY","ORAN PARK","2570","New South Wales",NA,NA,1,"N","N","Y",18,"2020-09-16","2021-11-24","2020-10-15T00:00:00","2020-10-02T00:00:00","N",NA,NA
"164","PAN-100403",10612078,20,5,"Determined","Development Application","Local Planning Panel","Liverpool City Council","Residential flat building","35 SIMONE CRESCENT CASULA 2170","150.903146341","-33.947007311","35","SIMONE","CRESCENT","CASULA","2170","New South Wales",NA,NA,2,"N","N","N",NA,"2021-06-02","2022-06-27",NA,NA,"N",NA,NA
"165","PAN-36199",5658567,30,6,"Deferred Commencement","Development Application","Local Planning Panel","Council of the City of Sydney","Boarding house","422-424 CLEVELAND STREET SURRY HILLS 2010","151.211858141","-33.891165707","422","CLEVELAND","STREET","SURRY HILLS","2010","New South Wales","424",NA,1,"N","Y","N",NA,"2020-09-30","2022-03-16","2021-07-09T00:00:00","2021-06-18T00:00:00","N","Y",NA
"166","PAN-4070",185000000,6,2,"Determined","Development Application","Council","Sutherland Shire Council","Demolition-Multi-dwelling housing-Stratum / community title subdivision","1 JUNCTION STREET MIRANDA 2228","151.109502552","-34.0334284645","1","JUNCTION","STREET","MIRANDA","2228","New South Wales",NA,NA,1,"N","N","Y",6,"2019-09-16","2020-04-22","2019-09-26T00:00:00","2019-11-16T00:00:00","N","N",NA
"167","PAN-105911",42555477.23,142,NA,"Determined","Development Application","Sydney / Regional Planning Panel","Canterbury-Bankstown Council","Shop top housing","280-300 Lakemba St and 64-70 King Georges Rd","151.037250203137","-33.9237722925734",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","N","N",NA,"2021-06-18","2022-02-08","2021-08-03T00:00:00","2021-07-07T00:00:00","N",NA,NA
"168","PAN-100423",5667424,0,NA,"Determined","Development Application","Council","Liverpool City Council","Demolition-Subdivision of land-Earthworks / change in levels-Retaining walls, protection of trees","55 SEVENTH AVENUE AUSTRAL 2179","150.815305308","-33.941609323","55","SEVENTH","AVENUE","AUSTRAL","2179","New South Wales",NA,NA,4,"N","N","Y",118,"2021-05-26","2022-05-06","2021-07-06T00:00:00","2021-06-21T00:00:00","Y",NA,NA
"169","PAN-115643",10569030,17,5,"Determined","Development Application","Local Planning Panel","Sutherland Shire Council","Demolition-Residential flat building-Earthworks / change in levels-Retaining walls, protection of trees-Garages, carports and car parking spaces","18-20 ROKER STREET CRONULLA 2230","151.155683187","-34.059052303","18","ROKER","STREET","CRONULLA","2230","New South Wales","20",NA,NA,"N","Y","N",NA,"2021-07-19","2022-12-23","2022-03-11T00:00:00","2022-02-17T00:00:00","N","Y",NA
"170","PAN-136327",6000000,18,3,"Withdrawn","Development Application","Unknown","Tweed Shire Council","Multi-dwelling housing-Subdivision of land-Earthworks / change in levels-Other","28-34 RIVERVIEW STREET MURWILLUMBAH 2484","153.392246578","-28.328988024","28","RIVERVIEW","STREET","MURWILLUMBAH","2484","New South Wales","34",NA,1,"N","Y","Y",18,"2021-09-16",NA,NA,NA,NA,NA,NA
"171","PAN-22031",316482355,32,3,"Determined","Development Application","Council","Randwick City Council","Demolition-Boarding house-Earthworks / change in levels","21 FORSYTH STREET KINGSFORD 2032","151.230424202","-33.921163541","21","FORSYTH","STREET","KINGSFORD","2032","New South Wales",NA,NA,2,"N","Y","N",NA,"2020-07-24","2022-10-31","2020-08-28T00:00:00","2020-07-29T00:00:00","N",NA,NA
"172","PAN-4423",46000000,137,11,"Cancelled","Development Application","Unknown","Penrith City Council","Residential flat building","26 SECOND AVENUE KINGSWOOD 2747","150.724367223","-33.763782755","26","SECOND","AVENUE","KINGSWOOD","2747","New South Wales",NA,NA,NA,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"173","PAN-12370",8115000,4,2,"Determined","Development Application","Council","Northern Beaches Council","Residential flat building","9-11 BIRDWOOD AVENUE COLLAROY 2097","151.303057832","-33.734307155","11","BIRDWOOD","AVENUE","COLLAROY","2097","New South Wales",NA,NA,1,"N","N","N",NA,"2020-05-04","2020-12-09","2020-09-11T00:00:00","2020-08-28T00:00:00","N","N",NA
"174","PAN-126273",12685285,4,4,"Determined","Development Application","Land and Environment Court","Fairfield City Council","Demolition-Residential flat building","147 POLDING STREET FAIRFIELD HEIGHTS 2165","150.938250703","-33.862224006","147","POLDING","STREET","FAIRFIELD HEIGHTS","2165","New South Wales",NA,NA,1,"N","N","N",NA,"2021-08-04","2022-05-23","2021-08-27T00:00:00","2021-08-13T00:00:00","N",NA,NA
"175","PAN-27216",9808105,27,2,"Determined","Development Application","Council","Blacktown City Council","Multi-dwelling housing","22 WORCESTER ROAD ROUSE HILL 2155","150.910054916","-33.6840478414","22","WORCESTER","ROAD","ROUSE HILL","2155","New South Wales",NA,NA,1,"N","N","Y",28,"2020-08-31","2022-09-08",NA,NA,"Y",NA,NA
"176","PAN-27216",9808105,27,2,"Determined","Development Application","Council","Blacktown City Council","Multi-dwelling housing","22 WORCESTER ROAD ROUSE HILL 2155","150.910054916","-33.6840478414","22","WORCESTER","ROAD","ROUSE HILL","2155","New South Wales",NA,NA,1,"N","N","Y",28,"2020-08-31","2022-09-08",NA,NA,"Y",NA,NA
"177","PAN-31681",35475263,118,NA,"Determined","Development Application","Council","Council of the City of Sydney","Subdivision of land-Stratum / community title subdivision","33-37 MENTMORE AVENUE ROSEBERY 2018","151.203891282","-33.913325301","33","MENTMORE","AVENUE","ROSEBERY","2018","New South Wales","37",NA,1,"N","N","Y",3,"2020-09-08","2021-11-26","2021-11-12T00:00:00","2021-10-21T00:00:00","N",NA,NA
"178","PAN-33745",5201283,1,NA,"Determined","Development Application","Local Planning Panel","Strathfield Municipal Council","Demolition-Alterations and additions to residential development-Boarding house","14 ROCHESTER STREET HOMEBUSH 2140","151.084633999","-33.86844327","14","ROCHESTER","STREET","HOMEBUSH","2140","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-09-29","2021-04-01","2020-10-30T00:00:00","2020-10-08T00:00:00","N","N",NA
"179","PAN-39674",6624529,7,5,"Determined","Development Application","Land and Environment Court","Waverley Council","Demolition-Residential flat building","27 KIMBERLEY STREET VAUCLUSE 2030","151.282458272","-33.863450067","27","KIMBERLEY","STREET","VAUCLUSE","2030","New South Wales",NA,NA,NA,"N","N","Y",7,"2020-10-15","2021-12-17",NA,NA,"N",NA,NA
"180","PAN-15039",17920858,24,2,"Deferred Commencement","Development Application","Land and Environment Court","Northern Beaches Council","Demolition-Multi-dwelling housing","181 ALLAMBIE ROAD ALLAMBIE HEIGHTS 2100","151.245300616","-33.7610470563","181","ALLAMBIE","ROAD","ALLAMBIE HEIGHTS","2100","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-05-28","2022-04-21","2020-07-05T00:00:00","2020-06-05T00:00:00","N",NA,NA
"181","PAN-23199",378054000,1,2,"Determined","Development Application","Council","Camden Council","Dwelling","4 MEARES CRESCENT CATHERINE FIELD 2557","150.756531030179","-34.0101887283476","4","MEARES","CRESCENT","CATHERINE FIELD","2557","New South Wales",NA,NA,0,"N","N","N",NA,"2020-07-22","2020-10-08","2020-08-10T00:00:00","2020-07-27T00:00:00","N","N",NA
"182","PAN-44324",6314690,8,2,"Determined","Development Application","Council","Byron Shire Council","Shop top housing-Boarding house-Mixed use development-Office premises-Retail premises ","94 KINGSFORD DRIVE BRUNSWICK HEADS 2483","153.549444063","-28.558192807","94","KINGSFORD","DRIVE","BRUNSWICK HEADS","2483","New South Wales",NA,NA,1,"N","N","N",NA,"2020-11-05","2021-04-22","2020-12-09T00:00:00","2020-11-19T00:00:00","N","N",NA
"183","PAN-13414",18243589,33,2,"Determined","Development Application","Local Planning Panel","Penrith City Council","Demolition-Multi-dwelling housing","154 STAFFORD STREET PENRITH 2750","150.704222183","-33.7615108616","154","STAFFORD","STREET","PENRITH","2750","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-05-04","2020-11-11","2020-06-05T00:00:00","2020-05-22T00:00:00","N","Y",NA
"184","PAN-113244",15199000,0,NA,"Determined","Development Application","Sydney / Regional Planning Panel","Ku-ring-gai Council","Demolition-Educational establishment -Recreational Uses-Garages, carports and car parking spaces","60-70 HORACE STREET ST IVES 2075","151.166430865","-33.739785605","60","HORACE","STREET","ST IVES","2075","New South Wales","70",NA,NA,NA,NA,NA,NA,"2021-07-05","2022-03-10","2021-07-29T00:00:00","2021-07-15T00:00:00","N",NA,NA
"185","PAN-33806",8694620,14,3,"Determined","Development Application","Local Planning Panel","Byron Shire Council","Multi-dwelling housing","103 PATERSON STREET BYRON BAY 2481","153.617995421","-28.6558369241","103","PATERSON","STREET","BYRON BAY","2481","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-09-24","2021-06-23","2020-10-27T00:00:00","2020-10-07T00:00:00","N",NA,NA
"186","PAN-121408",10690734,8,2,"Determined","Development Application","Land and Environment Court","Sutherland Shire Council","Demolition-Multi-dwelling housing","12 GUNNAMATTA ROAD CRONULLA 2230","151.145422026","-34.055160368","12","GUNNAMATTA","ROAD","CRONULLA","2230","New South Wales",NA,NA,NA,"N","Y","N",NA,"2021-08-13","2022-09-27","2021-10-01T00:00:00","2021-09-09T00:00:00","N",NA,NA
"187","PAN-42864",6598784.5,21,2,"Determined","Development Application","Council","Camden Council","Dwelling-Semi-attached dwelling-Subdivision of land-Earthworks / change in levels","900 CAMDEN VALLEY WAY GLEDSWOOD HILLS 2557","150.78183338701","-34.0018385301827","900","CAMDEN VALLEY","WAY","GLEDSWOOD HILLS","2557","New South Wales",NA,NA,1,"Y","N","Y",21,"2020-10-26","2021-04-08",NA,NA,"N","N",NA
"188","PAN-49658",8637458,30,3,"Deferred Commencement","Development Application","Local Planning Panel","City of Parramatta Council","Residential flat building","3 ELONERA STREET RYDALMERE 2116","151.043123652","-33.813848647","3","ELONERA","STREET","RYDALMERE","2116","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-12-18","2021-11-05","2021-02-02T00:00:00","2021-01-11T00:00:00","N","Y",NA
"189","PAN-11831",68462014,294,39,"Determined","Development Application","Sydney / Regional Planning Panel","City of Parramatta Council","Demolition-Shop top housing-Mixed use development-Earthworks / change in levels","14 PARKES STREET HARRIS PARK 2150","151.009726035","-33.8185556748","14","PARKES","STREET","HARRIS PARK","2150","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-04-14","2020-12-17",NA,NA,"N","N",NA
"190","PAN-10375",14029576,50,9,"Determined","Development Application","Local Planning Panel","City of Parramatta Council","Residential flat building","19 THALLON STREET CARLINGFORD 2118","151.046979617","-33.779815891","19","THALLON","STREET","CARLINGFORD","2118","New South Wales",NA,NA,2,"N","Y","N",NA,"2020-04-07","2021-04-26","2020-05-13T00:00:00","2020-04-22T00:00:00","N","N",NA
"191","PAN-50155",8879509,27,4,"Determined","Development Application","Local Planning Panel","North Sydney Council","Alterations and additions to residential development","22 CARABELLA STREET KIRRIBILLI 2061","151.218290262","-33.84936516","22","CARABELLA","STREET","KIRRIBILLI","2061","New South Wales",NA,NA,7,"N","Y","N",NA,"2020-12-09","2021-06-02","2021-01-29T00:00:00","2021-01-15T00:00:00","N","Y",NA
"192","PAN-118668",25772387,47,4,"Determined","Development Application","Sydney / Regional Planning Panel","Tweed Shire Council","Residential flat building","5 GRAND PARADE CASUARINA 2487","153.571572708","-28.296495159","5","GRAND","PARADE","CASUARINA","2487","New South Wales",NA,NA,NA,"N","N",NA,NA,"2021-08-06","2022-06-03","2021-10-13T00:00:00","2021-09-29T00:00:00","N",NA,NA
"193","PAN-50234",21937901,65,NA,"Determined","Development Application","Local Planning Panel","Wollongong City Council","Mixed use development-Centre based childcare-Garages, carports and car parking spaces","7 15-19 CROWN STREET WOLLONGONG 2500","150.901560602","-34.426458245","15","CROWN","STREET","WOLLONGONG","2500","New South Wales","19",NA,NA,"N","Y",NA,NA,"2020-12-17","2021-09-14","2021-01-25T00:00:00","2021-01-11T00:00:00","N","Y",NA
"194","PAN-50361",6038601.09,32,2,"Withdrawn","Development Application","Unknown","Blacktown City Council","Multi-dwelling housing","312 SOUTH STREET MARSDEN PARK 2765","150.823447059","-33.708821722","312","SOUTH","STREET","MARSDEN PARK","2765","New South Wales",NA,NA,NA,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"195","PAN-128730",5285322.35,24,NA,"Determined","Development Application","Local Planning Panel","Cumberland Council","Alterations and additions to residential development","11 RAPHAEL STREET LIDCOMBE 2141","151.046933974","-33.86579612","11","RAPHAEL","STREET","LIDCOMBE","2141","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-08-13","2021-12-15","2021-09-20T00:00:00","2021-09-06T00:00:00","N","Y",NA
"196","PAN-176909",22481911,54,5,"Determined","Development Application","Council","Shoalhaven City Council","Residential flat building","1 SHEPHERD STREET MOLLYMOOK 2539","150.471684377","-35.339346275","1","SHEPHERD","STREET","MOLLYMOOK","2539","New South Wales",NA,NA,NA,"N","N","Y",54,"2022-02-10","2023-02-14","2022-09-14T00:00:00","2022-08-30T00:00:00","N",NA,NA
"197","PAN-169709",5135876,6,4,"Additional Information Requested","Development Application","Unknown","Inner West Council","Multi-dwelling housing","180 DARLING STREET BALMAIN 2041","151.186876156","-33.858447062","180","DARLING","STREET","BALMAIN","2041","New South Wales",NA,NA,1,"N","Y","N",NA,"2021-11-26",NA,NA,NA,NA,NA,NA
"198","PAN-143281",5735000,11,1,"Determined","Development Application","Council","Shoalhaven City Council","Stormwater management systems-Other","10 VICTORIA STREET BERRY 2535","150.684862387","-34.77933078","10","VICTORIA","STREET","BERRY","2535","New South Wales",NA,NA,1,"N","N","N",NA,"2021-09-24","2022-05-20","2021-10-29T00:00:00","2021-10-13T00:00:00","N",NA,NA
"199","PAN-160151",17000000,5,NA,"Determined","Development Application","Council","Albury City Council","Industrial development-Garages, carports and car parking spaces-Business premises","21 RUBY COURT EAST ALBURY 2640","146.928841005","-36.092299738","21","RUBY","COURT","EAST ALBURY","2640","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-11-25","2022-02-03",NA,NA,"N",NA,NA
"200","PAN-139269",6110500,11,NA,"Determined","Development Application","Local Planning Panel","Wollongong City Council","Demolition-Residential flat building-Garages, carports and car parking spaces","12 GIPPS STREET WOLLONGONG 2500","150.899814305","-34.418386126","12","GIPPS","STREET","WOLLONGONG","2500","New South Wales",NA,NA,2,"N","N","N",NA,"2021-09-17","2022-06-28","2021-10-12T00:00:00","2021-09-28T00:00:00","N",NA,NA
"201","PAN-139281",7500000,0,NA,"Determined","Development Application","Council","Lake Macquarie City Council","Stratum / community title subdivision","390 PACIFIC HIGHWAY MURRAYS BEACH 2281","151.62863517","-33.122392279","390","PACIFIC","HIGHWAY","MURRAYS BEACH","2281","New South Wales",NA,NA,1,"N","N","Y",51,"2021-09-23","2022-06-14","2021-10-14T00:00:00","2021-09-23T00:00:00","N",NA,NA
"202","PAN-126818",7618056,19,NA,"Determined","Development Application","Sydney / Regional Planning Panel","Canterbury-Bankstown Council","Residential flat building","85 - 87 Waldron Road, Chester Hill","151.004673773","-33.883914032",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N",NA,"2021-08-16","2022-04-06","2021-09-22T00:00:00","2021-09-01T00:00:00","N",NA,NA
"203","PAN-152957",13753934,28,7,"Determined","Development Application","Local Planning Panel","Sutherland Shire Council","Demolition-Residential flat building","2 URUNGA PARADE MIRANDA 2228","151.107244928","-34.036685989","2","URUNGA","PARADE","MIRANDA","2228","New South Wales",NA,NA,2,"N","N","Y",28,"2021-11-11","2022-09-06","2021-12-15T00:00:00","2021-11-23T00:00:00","N","N",NA
"204","PAN-130912",6150723,9,NA,"Determined","Development Application","Land and Environment Court","Waverley Council","Demolition-Residential flat building","40 WAVERLEY STREET BONDI JUNCTION 2022","151.253713059","-33.892598203","40","WAVERLEY","STREET","BONDI JUNCTION","2022","New South Wales",NA,NA,NA,"Y","Y","N",NA,"2021-08-17","2022-05-24",NA,NA,"N",NA,NA
"205","PAN-179372",42123896,74,6,"Determined","Development Application","Sydney / Regional Planning Panel","North Sydney Council","Residential flat building","27 FALCON STREET CROWS NEST 2065","151.202597875","-33.828217679","27","FALCON","STREET","CROWS NEST","2065","New South Wales",NA,NA,NA,"Y","N","N",NA,"2021-12-16","2022-06-16","2022-01-28T00:00:00","2022-01-14T00:00:00","N",NA,NA
"206","PAN-145651",17683548,61,NA,"Determined","Development Application","Local Planning Panel","City of Parramatta Council","Residential flat building","3 FARMHOUSE ROAD WESTMEAD 2145","150.986240203","-33.806266545","3","FARMHOUSE","ROAD","WESTMEAD","2145","New South Wales",NA,NA,NA,NA,NA,NA,NA,"2021-10-07","2022-08-16","2021-11-10T00:00:00","2021-10-20T00:00:00","N","N",NA
"207","PAN-107075",125609067,4,2,"Withdrawn","Development Application","Unknown","Fairfield City Council","Dual occupancy-Subdivision of land","217 VICTORIA STREET SMITHFIELD 2164","150.920916779","-33.848876531","217","VICTORIA","STREET","SMITHFIELD","2164","New South Wales",NA,NA,1,"N","N","Y",4,"2021-06-10",NA,"2021-07-09T00:00:00","2021-06-24T00:00:00","N",NA,NA
"208","PAN-118816",5591300,10,NA,"Withdrawn","Development Application","Unknown","Council of the City of Sydney","Shop top housing","304-310 VICTORIA STREET DARLINGHURST 2010","151.222016893","-33.8767261846","304","VICTORIA","STREET","DARLINGHURST","2010","New South Wales","308",NA,NA,"N","N","N",NA,"2021-07-14",NA,NA,NA,NA,NA,NA
"209","PAN-114857",11880000,30,6,"Withdrawn","Development Application","Unknown","Blacktown City Council","Residential flat building-Earthworks / change in levels-Retaining walls, protection of trees-Garages, carports and car parking spaces","11 FIFTH AVENUE BLACKTOWN 2148","150.91219469","-33.762974134","11","FIFTH","AVENUE","BLACKTOWN","2148","New South Wales",NA,NA,1,"N","N","N",NA,"2021-07-26",NA,"2021-09-15T00:00:00","2021-09-01T00:00:00","N",NA,NA
"210","PAN-161478",7951680,1,3,"Determined","Development Application","Council","Woollahra Municipal Council","Dwelling","52 COOLONG ROAD VAUCLUSE 2030","151.269257315","-33.850917507","52","COOLONG","ROAD","VAUCLUSE","2030","New South Wales",NA,NA,1,"N","N","N",NA,"2021-11-03","2022-05-24","2021-12-09T00:00:00","2021-11-24T00:00:00","N",NA,NA
"211","PAN-111035",6440000,2,2,"Determined","Development Application","Council","The Council of the Municipality of Kiama","Dwelling-Secondary dwelling-Pools / decks / fencing-Demolition","Jamberoo Road, Croom","150.790895012","-34.617020817",NA,"JAMBEROO","ROAD","CROOM","2527","New South Wales",NA,NA,0,"N","N","N",NA,"2021-07-01","2022-03-15",NA,NA,"N",NA,NA
"212","PAN-175916",1000000000,1,1,"Determined","Development Application","Council","Port Stephens Council","Retaining walls, protection of trees","3 GRAZIERS PARADE RAYMOND TERRACE 2324","151.774642571","-32.738617635","3","GRAZIERS","PARADE","RAYMOND TERRACE","2324","New South Wales",NA,NA,1,"N","N","N",NA,"2021-12-22","2022-01-18",NA,NA,"N",NA,NA
"213","PAN-121032",14334741.29,49,4,"Withdrawn","Development Application","Unknown","Hawkesbury City Council","Residential flat building-Subdivision of land","2 HARKNESS ROAD OAKVILLE 2765","150.876471268","-33.647374275","2","HARKNESS","ROAD","OAKVILLE","2765","New South Wales",NA,NA,NA,"N","Y","Y",22,"2021-09-13",NA,"2021-10-18T00:00:00","2021-09-20T00:00:00","N",NA,NA
"214","PAN-131172",7779454,1,NA,"Determined","Development Application","Council","Woollahra Municipal Council","Dwelling-Pools / decks / fencing-Balconies, decks, patios, terraces or verandahs-Demolition","13 VILLAGE LOWER ROAD VAUCLUSE 2030","151.279209106","-33.855504438","13","VILLAGE LOWER","ROAD","VAUCLUSE","2030","New South Wales",NA,NA,1,"N","N","N",NA,"2021-08-16","2022-06-07","2021-09-23T00:00:00","2021-09-08T00:00:00","N",NA,NA
